Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,AE 234,Aircraft Propulsion,I - Kowsik V R Bodi,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
2,timetable,AE 236,Compressible Fluid Mechanics,I - Vineeth Nair,  ,2,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
3,timetable,AE 238,Aerospace Structural Mechanics,I - Susmita Naskar,  ,1,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
4,timetable,AE 240,Spaceflight Mechanics,I - Joshi Ashok,  ,3,,, 75,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
5,timetable,AE 240,Spaceflight Mechanics,I - Joshi Ashok,  ,3, M,, 15,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
6,timetable,AE 242,Aerospace Measurements Laboratory,I - Arya Hemendra,  ,L2,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
7,timetable,AE 305,Flight Mechanics II,I - Shashi Ranjan Kumar,  ,14,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
8,timetable,AE 312,Aerodynamics Laboratory,A - Aniruddha Sinha,  ,L1,,, 0,,,
,,,,A - Dhwanil Shukla,,,,,,,,
,,,,A - Vineeth Nair,,,,,,,,
,,,,A - Viren Menezes,,Mon-L1-14:00:00-16:55:00,,,,,,
,,,,I - Mandal J.C.,,,,,,,,
9,timetable,AE 314,Aircraft Structures Laboratory,I - Chandra S. Yerramalli,  ,L4,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
10,timetable,AE 316,Aircraft Propulsion Laboratory,I - Hrishikesh Gadgil,  ,L2,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
11,timetable,AE 330,Aerospace Propulsion,I - Sudarshan Kumar,  ,8,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
12,timetable,AE 332,Aircraft Design,I - Avijit Chatterjee,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
13,timetable,AE 427,Control Systems Laboratory,A - Shashi Ranjan Kumar,  ,L3,,, 0,,,
,,,,I - Arnab Maity,,,,,,,,
,,,,,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
14,timetable,AE 607,Aerospace Propulsion Laboratory,I - Hrishikesh Gadgil,  ,L2,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
15,timetable,AE 611,Aerodynamics Lab,A - Aniruddha Sinha,  ,L1,,, 0,,,
,,,,A - Dhwanil Shukla,,,,,,,,
,,,,A - Vineeth Nair,,,,,,,,
,,,,A - Viren Menezes,,Mon-L1-14:00:00-16:55:00,,,,,,
,,,,I - Mandal J.C.,,,,,,,,
16,timetable,AE 622,Computing of High Speed Flows,I - Krishnendu Sinha,  ,9,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
17,timetable,AE 624,Hypersonic Flow Theory,I - Viren Menezes,  ,13,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
18,timetable,AE 648,Energy Methods in Structural Mechanics,I - Chandra S. Yerramalli,  ,3,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
19,timetable,AE 649,Finite Element Method,A - P J Guruprasad,  ,9,,, 15,,,
,,,,I - Mujumdar P. M.,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
20,timetable,AE 660,Interfacial Phenomena in Liquid Atomization,I - Hrishikesh Gadgil,  ,9,,, 15,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
21,timetable,AE 665,Aircraft Stealth Technology,I - S. P. Mahulikar,  ,15,,, 37,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,
22,timetable,AE 666,Adaptive and Learning Control Systems,I - Arnab Maity,  ,12,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
23,timetable,AE 667,Rotary Wing Aerodynamics,I - Dhwanil Shukla,  ,1,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
24,timetable,AE 678,Aeroelasticity,I - Mujumdar P. M.,  ,8,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
25,timetable,AE 699,Control Systems Lab,A - Shashi Ranjan Kumar,  ,L3,,, 0,,,
,,,,I - Arnab Maity,,,,,,,,
,,,,,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
26,timetable,AE 706,Computational Fluid Dynamics,I - Mandal J.C.,  ,15,,, 45,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,
27,timetable,AE 708,Aerospace Propulsion,I - Sudarshan Kumar,  ,8,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
