Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,BB 404,Metabolism and Bioenergetics,I - Ashutosh Kumar,  ,5,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
2,timetable,BB 404,Metabolism and Bioenergetics,I - Ashutosh Kumar,  ,5, M,, 15,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
3,timetable,BB 406,Genetic Engineering,I - Kiran Kondabagilu,  ,5,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
4,timetable,BB 408,Immunology,A - G. Subrahmanyam,  ,1,,, 0,,,
,,,,I - Rahul Purwar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
5,timetable,BB 410,Bioinformatics - I Lab,I - P.V.Balaji,  ,3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
6,timetable,BB 414,Molecular Diagnostics,I - Patankar Swati,  ,6,,, 0,,,
,,,,,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
7,timetable,BB 416,Research Methodology and Scientific Communication Skills,I - Patankar Swati,  ,10,,, 0,,,
,,,,,FirstHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
8,timetable,BB 513,Critical Analysis of Classical Papers (Seminar),I - R. Srivastava,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
9,timetable,BB 519,Project Proposal Presentation and Dissertation,I - R. Srivastava,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
10,timetable,BB 551,Genetic Engineering Laboratory,I - Kiran Kondabagilu,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,
11,tutorial,BB 551,Genetic Engineering Laboratory,,  ,4,,,,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
12,timetable,BB 592,Project Stage II,I - Ashutosh Kumar,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
13,timetable,BB 602,Research philosophy,I - Patankar Swati,  ,5,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
14,timetable,BB 606,Cellular Electricity: Physics & Modeling,I - Manchanda Rohit,  ,11,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,
15,timetable,BB 608,Advannced Biomaterials and Regeneratiion,I - Banerjee Rinti,  ,8,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
16,timetable,BB 610,Biomedical Microsystems,I - R. Srivastava,  ,5,,, 90,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
17,timetable,BB 610,Biomedical Microsystems,I - R. Srivastava,  ,5, M,, 10,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
18,timetable,BB 611,Cell Cycle and Epigenetic Control,I - S. Ghosh,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
19,timetable,BB 612,Cell Mechanics and Mechanobiology,I - Shamik Sen,  ,3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
20,timetable,BB 616,Cellular and Tissue Engineering,I - Prakriti Tayalia,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
21,timetable,BB 618,Medical Instrumentation,I - Mukherji Soumyo,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
22,timetable,BB 621,Biostatistics,I - Shamik Sen,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
23,timetable,BB 623,Mechanisms of Bacterial Pathogenesis,I - Anirban Banerjee,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
24,timetable,BB 624,Microfluidics: physics and applications,I - Debjani Paul,  ,9,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
25,timetable,BB 626,Modeling Biological Systems and Processes,I - Ranjith P.,  ,12,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
26,timetable,BB 628,Molecular Cell Signaling,I - G. Subrahmanyam,  ,11,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,
27,timetable,BB 630,Industrial Microbiology,I - N.S. Punekar,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
28,timetable,BB 632,Topics in Biotechnology II,A - Samir Maji,  ,9,,, 0,,,
,,,,I - D. Panda,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
29,timetable,BB 634,Environmental Biotechnology,I - P. S. Phale,  ,2,,, 0,,,
,,,,,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
30,timetable,BB 635,Bacterial pathogenesis,I - Anirban Banerjee,  ,4,,, 0,,,
,,,,,FirstHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
31,timetable,BB 640,Biologics,I - Ashutosh Kumar,  ,9,,, 0,,,
,,,,,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
32,timetable,BB 642,Protein Crystallography,I - Prasenjit Bhaumik,  ,14,,, 20,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
33,timetable,BB 653,Experimental Techniques in Biomedical Engineering,A - Ambarish Kunwar,  ,4,,, 0,,,
,,,,A - Hari M. Varma,FullSemester,,,,,,,
,,,,A - Mukherji Soumyo,,,,,,,,
,,,,A - Prakriti Tayalia,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,A - R. Srivastava,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,A - Sandip Laxman Kaledhonkar,,Tue-4B-08:30:00-09:25:00,,,,,,
,,,,A - Shamik Sen,,,,,,,,
,,,,I - Debjani Paul,,,,,,,,
34,timetable,BB 658,Principles of Tissue Engineering,I - Prakriti Tayalia,  ,6,,, 0,,,
,,,,,FirstHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
35,timetable,BB 662,Biological Kinetics,I - Samir Maji,  ,4,,, 0,,,
,,,,,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
36,timetable,BB 664,Molecular Biosensors,I - D. Panda,  ,2,,, 0,,,
,,,,,FirstHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
