Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,CH 220,Reactions of Carbonyl Compounds,A - Chandra M. R. Volla,  ,1,,, 0,,,
,,,,I - Pradeep Kumar P.I.,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
2,timetable,CH 224,Co-ordination Chemistry,A - Goutam K. Lahiri,  ,9,,, 0,,,
,,,,I - Gopalan Rajaram,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
3,timetable,CH 398,Mini Project II,I - Kamendra P. Sharma,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
4,timetable,CH 408,Molecular Energetics and Dynamics,I - Nand Kishore,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
5,timetable,CH 410,Bio-Inorganic Chemistry,A - D. Maiti,  ,1,,, 0,,,
,,,,I - Arnab Dutta,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
6,timetable,CH 438,Chemistry of Main Group Elements,A - R. Murugavel,  ,4,,, 0,,,
,,,,I - Sanjog Sunil Nagarkar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
7,timetable,CH 442,Molecular Spectroscopy,I - G. Naresh Patwari,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
