Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,CL 202,Introduction to Data Analysis,I - Bhartiya S.,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
2,timetable,CL 246,Heat Transfer,I - Venkat Gundabala,  ,1, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
3,timetable,CL 246,Heat Transfer,I - P.Sunthar,  ,1, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
4,timetable,CL 250,Chemical Engineering Thermodynamics II,I - Adhikari J.,  ,3, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
5,timetable,CL 250,Chemical Engineering Thermodynamics II,I - Roy S.,  ,3, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
6,timetable,CL 254,Process Fluid Mechanics,I - Chandra V,  ,2, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
7,timetable,CL 254,Process Fluid Mechanics,I - Khakhar D.V.,  ,2, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
8,timetable,CL 302,Process Control,I - Bharatkumar Suthar,  ,1, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
9,timetable,CL 302,Process Control,I - Ravindra D. Gudi,  ,1, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
10,timetable,CL 306,Chemical Processes,A - Vinjamur Madhu,  ,4,,, 0,,,
,,,,I - Rahul Nabar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
