Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,CM 402,"Earth`s Climate: Past, Present and Future",I - Parthasarathy D.,  ,5,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
2,timetable,CM 792,Communication Skills -II,I - Parthasarathy D.,  ,4,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
