Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,EE 114,Power Engineering - I,I - Himanshu J. Bahirat,  ,15, S2,, 0,,,
,,,,I - Soman S.A.,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,
2,timetable,EE 207,Electronic Devices & Circuits,I - M. B. Patil,  ,4, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
3,timetable,EE 207,Electronic Devices & Circuits,I - Dipankar Saha,  ,4, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
4,timetable,EE 214,Digital Circuits Lab,I - M.Shojaei Baghini,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
5,timetable,EE 221,Digital Electronics,I - Agarwal Vivek,  ,5, M,, 60,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
6,timetable,EE 238,Power Engineering - II,I - Chatterjee Kishore,  ,6, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
7,timetable,EE 238,Power Engineering - II,I - Anshuman Shukla,  ,6, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
8,timetable,EE 240,Power Engineering Lab,A - Chatterjee Kishore,  ,L2,,, 0,,,
,,,,I - Prashant Navalkar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
9,timetable,EE 302,Control Systems,I - M Belur,  ,3, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
10,timetable,EE 302,Control Systems,I - Debraj Chakraborty,  ,3, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
11,timetable,EE 302,Control Systems,I - Dwaipayan Mukherjee,  ,3, S3,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
12,timetable,EE 302,Control Systems,I - Pillai Harish,  ,3, S4,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
13,timetable,EE 309,Microprocessors,I - Sharma Dinesh,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
14,timetable,EE 324,Control Systems Lab,A - Debasattam Pal,  ,L1,,, 0,,,
,,,,I - M Belur,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
15,timetable,EE 325,Probability and Random Processes,I - Nikhil Karamchandani,  ,5, M,, 60,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
16,timetable,EE 328,Digital Communications,I - Kumar Appaiah,  ,1, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
17,timetable,EE 328,Digital Communications,I - Merchant S N,  ,1, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
18,timetable,EE 334,Power Systems,I - Kulkarni A.M.,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
19,timetable,EE 337,Microprocessors Laboratory,A - Patkar Sachin,  ,,,, 0,,,
,,,,A - S. Vijayakumaran,FullSemester,,,,,,,
,,,,I - V Raj Babu,,Wed-LX-14:00:00-16:55:00,,,,,,
20,timetable,EE 340,Communications Lab,I - Jayakrishnan Nair,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
21,timetable,EE 344,Electronic Design Lab,A - Debraj Chakraborty,  ,L,,, 0,,,
,,,,A - Kushal R. Tuckley,FullSemester,,,,,,,
,,,,A - Pandey P.C.,,,,,,,,
,,,,A - S.Gupta,,Wed-LX-14:00:00-16:55:00,,,,,,
,,,,I - J.John,,,,,,,,
22,timetable,EE 605,Error Correcting Codes,I - Sibi Raj B. Pillai,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
23,timetable,EE 606,Fibre Optic Communications,I - J.John,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
