Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,EN 204,Material Science for Energy Applications,I - Shaibal Sarkar,  ,13,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
2,timetable,EN 212,Electrical Machines,I - D. Suryanarayana,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
3,timetable,EN 214,Transport Phenomena,I - Venkatasailanathan Ramadesigan,  ,8,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
4,tutorial,EN 214,Transport Phenomena,,  ,X,,,,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-X1-14:00:00-15:00:00,,,,,,
5,timetable,EN 216,Renewable Energy Technologies,I - Sagar Mitra,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
6,timetable,EN 218,"Energy Resources, Economics & Environment",I - Anish Modi,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
7,timetable,EN 301,Introduction to Renewable Energy Technologies,I - Sagar Mitra,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
8,timetable,EN 302,Power Generation and System Planning,A - Suneet Singh,  ,2,,, 0,,,
,,,,I - Bandyopadhyay Santanu,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
9,timetable,EN 304,Electrical Energy Systems,I - Zakir H. Rather,  ,9,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
10,timetable,EN 308,Solar Energy Lab,I - Anish Modi,  ,L2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
11,timetable,EN 310,IC Engine and Combustion Lab,A - Sandeep Kumar,  ,L4,,, 0,,,
,,,,I - Asish Sarangi,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
12,timetable,EN 312,Control & Instrumentation,I - V.S.S. Pavan Kumar Hari,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
13,tutorial,EN 312,Control & Instrumentation,-,  ,7,,,,,,
