Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,ENT205,Intellectual Property for Entrepreneurs,I - M.D.Atrey,  ,12,,, 0,,,
,,,,I - Rajkumar R. Hirwani,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
2,timetable,ENT205,Intellectual Property for Entrepreneurs,I - M.D.Atrey,  ,12, M,, 50,,,
,,,,I - Rajkumar R. Hirwani,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
3,timetable,ENT206,Developing a Proof-of-Concept - Advanced,I - P Kumaresan,  ,X, M,, 15,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-X1-14:00:00-15:00:00,,,,,,
4,timetable,ENT208,Technology Venture Creation,A - A. T. Kusre,  ,13,,, 0,,,
,,,,A - Rajen Jaswa,FullSemester,,,,,,,
,,,,I - Rohan Chinchwadkar,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
5,timetable,ENT208,Technology Venture Creation,A - A. T. Kusre,  ,13, M,, 50,,,
,,,,A - Rajen Jaswa,FullSemester,,,,,,,
,,,,I - Rohan Chinchwadkar,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
6,timetable,ENT210,Marketing for Entrepreneurs,I - A. T. Kusre,  ,12,,, 0,,,
,,,,I - Devdip Purkayastha,FirstHalf,,,,,,,
,,,,I - P Kumaresan,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
7,timetable,ENT210,Marketing for Entrepreneurs,I - A. T. Kusre,  ,12, M,, 50,,,
,,,,I - Devdip Purkayastha,FirstHalf,,,,,,,
,,,,I - P Kumaresan,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
8,timetable,ENT601,Intellectual Property for Entrepreneurs,I - M.D.Atrey,  ,12,,, 0,,,
,,,,I - Rajkumar R. Hirwani,SecondHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
9,timetable,ENT602,Technology Venture Creation,A - A. T. Kusre,  ,13,,, 0,,,
,,,,A - Rajen Jaswa,FullSemester,,,,,,,
,,,,I - Rohan Chinchwadkar,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
10,timetable,ENT604,Marketing for Entrepreneurs,A - Devdip Purkayastha,  ,12,,, 0,,,
,,,,A - P Kumaresan,FirstHalf,,,,,,,
,,,,I - A. T. Kusre,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
11,timetable,ENT608,Developing a Proof-of-Concept - Advanced,I - P Kumaresan,  ,X,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-X3-16:00:00-17:00:00,,,,,,
