Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,GNR402,Introduction to Geographic Information Systems,I - Surya Durbha,  ,5, M,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
2,timetable,GNR410,Digital Photogrammetry and GPS,I - Gedam S.S.,  ,5, M,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
3,timetable,GNR602,Advanced Methods in Satellite Image Processing,I - Mohan B.Krishna,  ,13,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
4,timetable,GNR618,Remote Sensing and GIS Applications to Cryosphere,I - Gulab Singh,  ,12,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
5,timetable,GNR628,Planetary Spectroscopy and Remote Sensing,I - Alok Porwal,  ,9,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
6,timetable,GNR629,"Advances in Geospatial Standards, Interoperability and Knowledge Discovery",I - Surya Durbha,  ,9,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
7,timetable,GNR630,Introduction to Geospatial Technologies,A - Gedam S.S.,  ,6,,, 50,,,
,,,,I - Mohan B.Krishna,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
8,timetable,GNR631,Rural Informatics,I - Adinarayana J.,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
9,timetable,GNR633,Remote Sensing and GIS Applications to Mineral and Hydrocarbon Exploration,I - Alok Porwal,  ,11,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,
10,timetable,GNR639,Natural Disaster Assessment and Management,I - Gulab Singh,  ,7,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-7B-08:30:00-09:25:00,,,,,,
,,,,,,Wed-7A-08:30:00-09:25:00,,,,,,
11,timetable,GNR640,Geospatial Statistics,I - Karthikeyan Lanka,  ,8,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
12,timetable,GNR642,Scattering Models in Microwave Remote Sensing,I - Gulab Singh,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
13,timetable,GNR644,Remote Sensing of Surface Water Resources,I - Karthikeyan Lanka,  ,15,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,
14,timetable,GNR646,Polarization Radar and SAR Polarimetry,I - Gulab Singh,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
15,timetable,GNR647,Microwave Remote Sensing,A - Rao Y.S.,  ,8,,, 0,,,
,,,,I - Avik Bhattacharya,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
16,timetable,GNR651,Digital Photogrammetry and Cartography,I - Gedam S.S.,  ,3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
17,timetable,GNR652,Machine Learning for Remote Sensing-I,I - Biplab Banerjee,  ,5,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
18,timetable,GNR792,Communication Skills -II,A - Avik Bhattacharya,  ,2,,, 0,,,
,,,,I - Adinarayana J.,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
