Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,GP 402,Gravity and Magnetic Methods,I - M. Radhakrishna,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
2,timetable,GP 408,Gravity and Magnetic Lab,I - M. Radhakrishna,  ,L1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
3,timetable,GP 414,Electrical Methods,I - Anand Singh,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
4,timetable,GP 415,Mineralogy & Petrology Lab,I - Patel S.C.,  ,L4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
5,timetable,GP 416,Structural Geology & Stratigraphy,I - Soumyajit Mukherjee,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
6,timetable,GP 418,Exploration Seismology I,I - Bharath C. Shekar,  ,3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
7,timetable,GP 420,Structural Geology & Stratigraphy Lab,I - Soumyajit Mukherjee,  ,L2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
8,timetable,GP 422,Geological Field Work,I - Prabhakar Naraga,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
9,timetable,GP 502,Well Logging,I - Mohan G.,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
10,timetable,GP 506,Geophysical Inverse Theory,I - Satish Maurya,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
11,timetable,GP 516,Petroleum Geology and Petrophysics,I - Kumar Hemant Singh,  ,8,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
12,timetable,GP 518,"Process Geomorphology, Remote Sensing and GIS",I - D. Ramakrishnan,  ,12,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
13,timetable,GP 520,Project Work,I - Anand Singh,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
14,timetable,GS 318,Applied Geology for Civil Engineers,A - Vikram Vishal,  ,L1,,, 0,,,
,,,,I - Prabhakar Naraga,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,
15,timetable,GS 318,Applied Geology for Civil Engineers,A - Vikram Vishal,  ,X,,, 0,,,
,,,,I - Prabhakar Naraga,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,
16,timetable,GS 413,Structural Geology Lab,I - Soumyajit Mukherjee,  ,L4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
17,timetable,GS 416,Petrology Lab,A - Banerjee Santanu,  ,L1,,, 0,,,
,,,,A - Patel S.C.,FullSemester,,,,,,,
,,,,I - Sheth C Hetu,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
