Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,,,,,,,
,,,,,,,,,,,,,,,,,Definition,,,,,,,
1,timetable,HS 101,Economics,A - Saptarshi Prosonno Ghosh,  ,4,,, 0,,,,,,,,,,,,,,,
,,,,A - Souvik Banerjee,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,A - Subrato Banerjee,,,,,,,,,,,,,,,,,,,,
,,,,I - Haripriya Gundimeda,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,,,,,,,
2,timetable,HS 200,Environmental Studies,A - R.K. Panda,  ,3, S1,, 0,,,,,,,, View,,,,,,,
,,,,I - Narayanan K.,FirstHalf,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
3,timetable,HS 200,Environmental Studies,A - Ratikanta Panda,  ,2, S2,, 0,,,,,,,, View,,,,,,,
,,,,I - Narayanan K.,SecondHalf,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
4,timetable,HS 208,Approaches to Literaturers,A - Suddhaseel Sen,  ,5,,, 0, View,,,,,,,,,,,,,,
,,,,I - Sharmila,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
5,timetable,HS 208,Approaches to Literaturers,A - Suddhaseel Sen,  ,5, M,, 40,,,,,,,,,,,,,,,
,,,,I - Sharmila,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,,,,,,,
6,timetable,HS 210,Intermediate Microeconomics II,I - Saptarshi Prosonno Ghosh,  ,8,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
7,timetable,HS 212,Intermediate Macroeconomics II,A - Souvik Banerjee,  ,1,,, 0, View,,,,,,,,,,,,,,
,,,,I - Trivedi Pushpa,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,,,,,,,
8,timetable,HS 214,Statistics II,I - Aditi Balkrishna Chaubal,  ,11,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
9,timetable,HS 216,Money and Banking,I - Pooja Padhi,  ,15,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
10,timetable,HS 302,International Economics II,I - Trivedi Pushpa,  ,3,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
11,timetable,HS 304,Development Economics II,I - Rama Pal,  ,9,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12,timetable,HS 401,Introduction to Paninian Grammar,I - Kulkarni A Malhar,  ,2,,, 50,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,,,,,,,
13,timetable,HS 405,Econometrics II,I - Tara S. Shaw,  ,12,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
14,timetable,HS 407,Econometrics II Lab,I - Tara S. Shaw,  ,13,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
15,timetable,HS 411,Indian Economy,I - Narayanan K.,  ,6,,, 0, View,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
