Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,IE 604,Systems Dynamics Modeling & Analysis,I - J. Venkateswaran,  ,10,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
2,timetable,IE 613,Online Learning,I - Manjesh K. Hanawal,  ,12,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
3,timetable,IE 613,Online Learning,I - Manjesh K. Hanawal,  ,12, M,, 30,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
4,timetable,IE 614,Linear Systems,I - P. Balamurugan,  ,8,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
5,timetable,IE 616,Decision Analysis and Game Theory,I - K.S.Mallikarjuna Rao,  ,3,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
6,timetable,IE 616,Decision Analysis and Game Theory,I - K.S.Mallikarjuna Rao,  ,3, M,, 40,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
7,timetable,IE 622,Probability and Stochastic Processes II,I - N. Hemachandra,  ,1,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
8,timetable,IE 622,Probability and Stochastic Processes II,I - N. Hemachandra,  ,1, M,, 40,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
9,timetable,IE 630,Simulation Modeling and Analysis,A - Veeraruna Kavitha,  ,5,,, 0,,,
,,,,I - J. Venkateswaran,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
10,timetable,IE 630,Simulation Modeling and Analysis,A - Veeraruna Kavitha,  ,5, M,, 50,,,
,,,,I - J. Venkateswaran,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
11,timetable,IE 663,Advanced Topics in Deep Learning,I - P. Balamurugan,  ,14,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
12,timetable,IE 683,Topics in Learning Algorithms,I - N. Hemachandra,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
13,timetable,IE 683,Topics in Learning Algorithms,I - N. Hemachandra,  ,6, M,, 20,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
14,timetable,IE 684,IEOR Lab,A - N. Hemachandra,  ,LX,,, 0,,,
,,,,I - P. Balamurugan,,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,
15,timetable,IE 714,Quantitative Models for Supply Chain Management,I - Rangaraj Narayan,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
16,timetable,IE 716,Integer Programming: Theory and Computations,I - Ashutosh Mahajan,  ,9,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
17,timetable,IE 716,Integer Programming: Theory and Computations,I - Ashutosh Mahajan,  ,9, M,, 40,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
18,timetable,IE 792,Communication Skills -II,A - V. Narayanan,  ,11,,, 0,,,
,,,,I - Siddhartha SenGupta,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,
