Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
1,timetable,MA 105,Calculus,I - K. Sureshkumar,  ,5,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
2,tutorial,MA 105,Calculus,I - I12059 - Ashutosh Mahajan,  ,X,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-XD-19:00:00-20:25:00,,,,,,,,,,,,
3,timetable,MA 214,Introduction to Numerical Analysis,A - Saikat Mazumdar,  ,12, S1,, 0,,,,,,,,,
,,,,I - Harsha Hutridurga Ramaiah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,
4,tutorial,MA 214,Introduction to Numerical Analysis,A - 10001865 - Saikat Mazumdar,  ,X, S1,,,,,,,,,,,
,,,,I - 10001788 - Harsha Hutridurga Ramaiah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,,,,,,,
5,timetable,MA 214,Introduction to Numerical Analysis,A - Saikat Mazumdar,  ,14, S2,, 0,,,,,,,,,
,,,,I - Harsha Hutridurga Ramaiah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
6,tutorial,MA 214,Introduction to Numerical Analysis,A - 10001865 - Saikat Mazumdar,  ,X, S2,,,,,,,,,,,
,,,,I - 10001788 - Harsha Hutridurga Ramaiah,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,,,,,,,
7,timetable,MA 406,General Topology,I - Santanu Dey,  ,9,,, 0,,,,,,,,,
