Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
1,timetable,ME 202,Strength of Materials,I - Amit Singh,  ,2, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
2,timetable,ME 202,Strength of Materials,I - Salil Kulkarni,  ,2, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
3,timetable,ME 206,Manufacturing Processes I,I - Pradeep Dixit,  ,3, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
4,timetable,ME 206,Manufacturing Processes I,I - Rakesh G. Mote,  ,4, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
5,timetable,ME 206,Manufacturing Processes I,I - R.K.Singh,  ,3, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
6,timetable,ME 209,Thermodynamics,I - Arindrajit Chaudhari,  ,5,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
7,timetable,ME 213,Manufacturing Practice Lab,A - De Amitava,  ,L2, S1,, 0,,,,,,,,,
,,,,I - Amber Shrivastava,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,,,,,,,
8,timetable,ME 213,Manufacturing Practice Lab,A - De Amitava,  ,L4, S2,, 0,,,,,,,,,
,,,,I - Amber Shrivastava,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,,,,,,,
9,timetable,ME 213,Manufacturing Practice Lab,A - De Amitava,  ,LX, S3,, 0,,,,,,,,,
,,,,I - Amber Shrivastava,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,,,,,,,
10,timetable,ME 218,Solid Mechanics Lab,A - Alankar Alankar,  ,L1, S1,, 0,,,,,,,,,
,,,,I - Krishna Jonnalagadda,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,,,,,,,
11,timetable,ME 218,Solid Mechanics Lab,A - Alankar Alankar,  ,L3, S2,, 0,,,,,,,,,
,,,,I - Krishna Jonnalagadda,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,,,,,,,
12,timetable,ME 220,Theory of Machines and Machine Design,A - Shantanu Tripathi,  ,3,,, 0,,,,,,,,,
,,,,I - Vivek Sangwan,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
13,timetable,ME 224,Fluid Mechanics Lab,A - Abhilash Chandy,  ,,,, 0,,,,,,,,,
,,,,A - Neeraj Kumbhakarna,,,,,,,,,,,,,,
,,,,I - Shivasubramanian Gopalakrishnan,,,,,,,,,,,,,,
14,timetable,ME 224,Fluid Mechanics Lab,I - Shivasubramanian Gopalakrishnan,  ,, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,timetable,ME 224,Fluid Mechanics Lab,I - Abhilash Chandy,  ,, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,timetable,ME 226,Mechanical Measurements,I - Dipanshu Bansal,  ,1, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
17,timetable,ME 226,Mechanical Measurements,I - Atul Srivastava,  ,1, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
18,timetable,ME 226,Mechanical Measurements,I - Amit Agrawal,  ,1, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
19,timetable,ME 306,Applied Thermodynamics,I - Bhalchandra Puranik,  ,4, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
20,timetable,ME 306,Applied Thermodynamics,I - Upendra Bhandarkar,  ,7, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-7B-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Wed-7A-08:30:00-09:25:00,,,,,,,,,,,,
21,timetable,ME 306,Applied Thermodynamics,I - Vedula R.P.,  ,4, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
22,timetable,ME 307,Mechanical Measurements Lab,I - Avishek Ranjan,  ,, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
23,timetable,ME 307,Mechanical Measurements Lab,I - Sridhar Balasubramanian,  ,, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
24,timetable,ME 307,Mechanical Measurements Lab,I - Ankit Jain,  ,, S3,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,timetable,ME 308,Industrial Engineering and Operations Research I,I - Avinash Bhardwaj,  ,6, S1,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
26,timetable,ME 308,Industrial Engineering and Operations Research I,I - Makarand S. Kulkarni,  ,6, S2,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
