Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
1,timetable,MG 402,Human Resource Management,I - Bhargava S,  ,5, M,, 45,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
2,timetable,MG 405,Project Management,I - Gajendra Adil,  ,5, M,, 60,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
3,timetable,MG 406,Operations Management,I - Rahul Patil,  ,5, M,, 60,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
4,timetable,MG 802,Marketing Theory and Contemporary Issues,I - Dinesh Sharma,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
5,Instructor information not avilable,MGS801,Credit Seminar,,,,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,timetable,MGT801,Introduction to Research Methods,I - Karuna Jain,  ,,,, 0,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
7,timetable,MGT804,Qualitative Research Methodologies,I - T.T. Niranjan,  ,,,, 25,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
8,timetable,MGT805,Survey Research & Experimentation,I - Ashish Singh,  ,,,, 0,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
9,timetable,SOM612,Business Research Methods,I - Ashish Singh,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
10,timetable,SOM613,Corporate Finance - II,I - S.V.D.Nageswara Rao,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
11,timetable,SOM614,Organization Behavior & Human Resources I,I - Bhargava S,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
12,timetable,SOM615,Operations Management II,A - Gajendra Adil,  ,,,, 0,,,,,,,,,
,,,,I - Indrajit Mukherjee,FirstHalf,,,,,,,,,,,,,
13,timetable,SOM616,Technology Management,I - Karuna Jain,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
14,timetable,SOM617,Corporate Strategy,I - Snehal Awate,  ,,,, 0,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
15,timetable,SOM618,Organization Behavior & Human Resources II,I - Ashish Pandey,  ,,,, 0,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
16,timetable,SOM619,Corporate Governance and Business Ethics,I - Varadraj B. Bapat,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
17,timetable,SOM620,Business and Sustainable Development,I - Trupti Mishra,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
18,timetable,SOM621,Legal Aspects of Business,I - Varadraj B. Bapat,  ,,,, 0,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
19,timetable,SOM623,Final Project,I - S.N.Rao,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
20,timetable,SOM634,Purchasing and Supply Management,I - Atul Kanyalkar,  ,,,, 51,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
21,timetable,SOM642,Business Forecasting,I - Pankaj Dutta,  ,,,, 40,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
22,timetable,SOM643,Introduction to ERP,I - Atul Kanyalkar,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
23,timetable,SOM652,Indian Financial and Business Model,I - Varadraj B. Bapat,  ,,,, 60,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
24,timetable,SOM664,Business to Business Marketing,I - Dinesh Sharma,  ,,,, 69, View,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
25,timetable,SOM665,Consumer Behaviour,I - Dinesh Sharma,  ,,,, 80,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
26,timetable,SOM673,Managerial Effectiveness Skills,I - Bhargava S,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
27,timetable,SOM679,Competitiveness for Sustainable Enterprise,I - Kiran Kumar Momaya,  ,6,,, 50,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
28,timetable,SOM680,Managing Intellectual Property,I - Karuna Jain,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
29,timetable,SOM681,Historical and Contemporary Perspectives in International Business,I - S.N.Rao,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
30,timetable,SOM691,Intelligent Systems,I - Sonar M Rajendra,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
31,timetable,SOM693,Information Technology Infrastructure Management,I - Sonar M Rajendra,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
32,timetable,SOM698,Management of Banking and Financial Services,I - Piyush Pandey,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
33,timetable,SOM700,Managing Digital Products,I - Sonar M Rajendra,  ,,,, 60,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
34,timetable,SOM701,Online Marketing,I - Dinesh Sharma,  ,,,, 0,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
35,timetable,SOM707,Behavioral Finance,I - S.N.Rao,  ,,,, 60,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
36,timetable,SOM711,Behavioural Economics,I - Sarthak Gaurav,  ,,,, 60,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
37,timetable,SOM712,Management of Digital Transformation in Enterprise,I - Sonar M Rajendra,  ,,,, 60,,,,,,,,,
,,,,,SecondHalf,,,,,,,,,,,,,
38,timetable,SOM716,Economics of Firm Strategy,I - Vinish Kathuria,  ,6,,, 60,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
39,timetable,SOM718,"Money: Past, Present and Future",I - Rohan Chinchwadkar,  ,,,, 40,,,,,,,,,
,,,,,FirstHalf,,,,,,,,,,,,,
40,timetable,SOM744,Multivariate Data Analysis,I - Usha Ananthakumar,  ,,,, 60,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
