Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,MM 203,Mechanics of Materials,A - Anirban Patra,  ,1,,, 0,,,
,,,,I - Nagamani J. Balila,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
2,timetable,MM 204,Transport Phenomena,A - N.N.Viswanathan,  ,2,,, 0,,,
,,,,I - Deepoo Kumar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
3,timetable,MM 206,Experimental Techniques in Materials Science,A - Prasanna T.R.S.,  ,6,,, 0,,,
,,,,I - Sudhanshu Mallick,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
4,timetable,MM 318,Electronic Properties of Materials,I - Amrita Bhattacharya,  ,12, M,, 5,,,
,,,,I - Titas Dasgupta,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
5,timetable,MM 318,Electronic Properties of Materials,I - Titas Dasgupta,  ,3, S1,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
6,timetable,MM 318,Electronic Properties of Materials,I - Amrita Bhattacharya,  ,12, S2,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
7,timetable,MM 320,Principles of Process Metallurgy,A - Somnath Basu,  ,1,,, 0,,,
,,,,I - Khosla N.K.,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
8,timetable,MM 322,Casting and Joining Lab,A - Manish M. Pande,  ,L2, S1,, 0,,,
,,,,I - K. Bhanumurthy,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
9,timetable,MM 322,Casting and Joining Lab,A - Manish M. Pande,  ,L4, S2,, 0,,,
,,,,I - K. Bhanumurthy,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
10,timetable,MM 323,Manufacturing Processes Laboratory,A - Ashutosh Gandhi,  ,L1, S1,, 0,,,
,,,,A - Shobha Shukla,FullSemester,,,,,,,
,,,,I - Mithun Chowdhury,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
11,timetable,MM 323,Manufacturing Processes Laboratory,A - Ashutosh Gandhi,  ,L3, S2,, 0,,,
,,,,A - Shobha Shukla,FullSemester,,,,,,,
,,,,I - Mithun Chowdhury,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
12,timetable,MM 357,Ceramics and Powder Metallurgy,I - Ashutosh Gandhi,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
13,timetable,MM 359,Metal Casting and Joining,A - K. Bhanumurthy,  ,2,,, 0,,,
,,,,I - Vitta Satish,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
14,timetable,MM 396,Seminar,A - Deepoo Kumar,  ,,,, 0,,,
,,,,I - Avradeep Pal,FullSemester,,,,,,,
15,timetable,MM 406,Semiconductor Devices and Processing,I - Dipti Gupta,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
16,timetable,MM 408,Mechanical Working of Metals,A - Samajdar I.,  ,4,,, 0,,,
,,,,I - Narsimhan K.,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
17,timetable,MM 417,Entrepreneurship in Materials Engineering,I - N. Venkataramani,  ,5,,, 24,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
18,timetable,MM 426,Equipment and Processes Design Lab.,A - Dinkar S. Patil,  ,L1, S1,, 0,,,
,,,,A - K. Bhanumurthy,FullSemester,,,,,,,
,,,,I - V. K. Srivastava,,,,,,,,
,,,,,,Mon-L1-14:00:00-16:55:00,,,,,,
19,timetable,MM 426,Equipment and Processes Design Lab.,A - Dinkar S. Patil,  ,L3, S2,, 0,,,
,,,,A - K. Bhanumurthy,FullSemester,,,,,,,
,,,,I - V. K. Srivastava,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
20,timetable,MM 445,Continuum Plasticity of Metals,I - Anirban Patra,  ,12,,, 30,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,
21,timetable,MM 448,Thin Films Lab,A - Dinkar S. Patil,  ,L2, S1,, 0,,,
,,,,I - Avradeep Pal,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
22,timetable,MM 448,Thin Films Lab,A - Dinkar S. Patil,  ,L4, S2,, 0,,,
,,,,I - Avradeep Pal,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
23,timetable,MM 454,Corrosion & Protection of Materials,A - Smrutiranjan Parida,  ,1,,, 0,,,
,,,,I - Vijayshankar Dandapani,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
24,timetable,MM 462,Corrosion & Protection Lab,A - J Rangarajan,  ,L2, S1,, 0,,,
,,,,A - Smrutiranjan Parida,FullSemester,,,,,,,
,,,,I - Vijayshankar Dandapani,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,
25,timetable,MM 462,Corrosion & Protection Lab,A - J Rangarajan,  ,L4, S2,, 0,,,
,,,,A - Smrutiranjan Parida,FullSemester,,,,,,,
,,,,I - Vijayshankar Dandapani,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
26,timetable,MM 492,B.Tech Project I,I - Vitta Satish,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
27,timetable,MM 494,B.Tech Project II,I - Vitta Satish,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
28,timetable,MM 612,Computational Laboratory,A - Anirban Patra,  ,LX,,, 0,,,
,,,,I - Ajay Singh Panwar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,
29,timetable,MM 622,Advanced Concepts in Iron Making,A - Somnath Basu,  ,5,,, 0,,,
,,,,I - N.N.Viswanathan,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
30,timetable,MM 624,Advanced Concepts in Steel Making,A - Manish M. Pande,  ,3,,, 0,,,
,,,,I - Deepoo Kumar,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
31,timetable,MM 626,Thermomechanical Processing and Forming of Steel,I - MJNV Prasad,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
32,timetable,MM 638,Polymer Blends and Composites,I - Arup R. Bhattacharyya,  ,12,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
