Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,PH 108,Basics of Electricity & Magnetism,A - Amitabha Nandi,  ,1,,, 0,,,
,,,,A - Raghunath Chelakkot,FullSemester,,,,,,,
,,,,A - Varma Raghava,,,,,,,,
,,,,I - Mithun K. Mitra,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
2,timetable,PH 202,Waves & Oscillations & Optics,I - Anshuman Kumar,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
3,timetable,PH 204,Quantum Mechanics I,I - P. Ramadevi,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
4,timetable,PH 230,Electronics Lab III (Digital Electronics),I - Pradeep Sarin,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
5,timetable,PH 232,Physics Laboratory I (General Physics Lab),I - S. Dhar,  ,L3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Thu-L3-14:00:00-16:55:00,,,,,,
6,timetable,PH 233,Electronics Lab II (Op amp circuits),I - Pradeep Sarin,  ,L4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,
7,timetable,PH 252,Introduction to Quantum Mechanics,I - Sadhana Dash,  ,5, M,, 40,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
8,timetable,PH 352,Introduction to Condensed Matter Physics,I - Mahajan Avinash V.,  ,5, M,, 40,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
9,timetable,PH 353,Light Matter Interactions,I - Gopal Dixit,  ,5, M,, 40,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
10,timetable,PH 408,Mathematical Physics II,I - Dibyendu Das,  ,6,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
11,timetable,PH 410,Statistical Physics,I - Sumiran Pujari,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
12,timetable,PH 418,Introduction to Condensed Matter Physics,I - Singh P.P.,  ,3,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,
13,timetable,PH 422,Quantum Mechanics II,I - Alok Shukla,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
14,timetable,PH 424,Electromagnetic Theory I,I - Archana Pai,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
