Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,PS 602,Public Policy in Practice,I - Prabhir Vishnu Poruthiyil,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
2,timetable,PS 604,"Technology, Culture and Policy",I - Mehra A.,  ,10,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
3,timetable,PS 606,"Public Policy in India: History, Institutions and Practice",I - Jha Shishir Kumar,  ,9,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,
4,timetable,PS 607,Public Policy Theory II,I - Prabhir Vishnu Poruthiyil,  ,14,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
5,timetable,PS 610,Quantitative and Qualitative Research Methods,A - Sarthak Gaurav,  ,13,,, 0,,,
,,,,I - Prabhir Vishnu Poruthiyil,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
6,timetable,PS 611,Energy Policy Analysis,I - Banerjee Rangan,  ,1,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,
7,timetable,PS 614,Water Policy II - Advanced Themes in Water Policy,I - N.C.Narayanan,  ,15,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,
8,timetable,PS 617,"Information Economy, Data and Governance III",I - Jha Shishir Kumar,  ,8,,, 0,,,
,,,,,FirstHalf,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,
9,timetable,PS 625,Environmental Governance and Development,A - Bakul Rao,  ,6,,, 0,,,
,,,,A - Virendra Sethi,FullSemester,,,,,,,
,,,,I - Ajay A Deshpande,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
10,timetable,PS 626,"AI, Data and Policy",I - Anupam Guha,  ,11,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,
11,timetable,PS 630,Technology and the Future of Workers,I - Anupam Guha,  ,5,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
12,timetable,PS 631,Telecommunication Policy,I - Manjunath D.,  ,2,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,
13,timetable,PS 694,Seminar,I - Anupam Guha,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
14,timetable,PS 792,Communication Skill -II,I - Parthasarathy D.,  ,4,,, 0,,,
,,,,,FullSemester,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,
15,timetable,PSS801,Seminar,I - Jha Shishir Kumar,  ,,,, 0,,,
,,,,,FullSemester,,,,,,,
