Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
1,timetable,TD 604,Social Science Research Methods and Systems Dynamics,A - Amit Y. Arora,  ,9,,, 0, View,,,,,,,,
,,,,I - Subodh M. Wagle,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,timetable,TD 609,Field Work,A - Anand B. Rao,  ,,,, 0,,,,,,,,,
,,,,I - Pankajkumar Sekhsaria,FullSemester,,,,,,,,,,,,,
3,timetable,TD 610,Contemporary Critical Issues in Technology and Development,I - N.C.Narayanan,  ,15,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-15B-19:00:00-20:25:00,,,,,,,,,,,,
,,,,,,Tue-15A-19:00:00-20:25:00,,,,,,,,,,,,
4,timetable,TD 611,Agro-based Industries: Design and Case Studies,I - N. Shah,  ,2,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
5,timetable,TD 620,"Micro, Small and Medium Enterprises in Rural Areas",A - Vishal R. Sardeshpande,  ,12,,, 0,,,,,,,,,
,,,,I - Anand B. Rao,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,
6,timetable,TD 623,Rural Electrification and Development in India,I - Priyadarshani Jadhav,  ,8,,, 0, View,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,timetable,TD 630,Public Policy: Theory and Practice,A - Satish B. Agnihotri,  ,5,,, 0, View,,,,,,,,
,,,,I - Subodh M. Wagle,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,timetable,TD 632,Sustainable Development Goals and Corporate Social Responsibility,A - Anand B. Rao,  ,11,,, 0,,,,,,,,,
,,,,A - Bakul Rao,FullSemester,,,,,,,,,,,,,
,,,,A - Satish B. Agnihotri,,,,,,,,,,,,,,
,,,,I - Rupal M Dalal,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
9,timetable,TD 653,Biofuels: Technology and Policy Perspective,I - Amit Y. Arora,  ,10,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
10,timetable,TD 694,Seminar,I - Pankajkumar Sekhsaria,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
11,timetable,TD 696,II Stage Project,I - Pennan Chinnasamy,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
